CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
5.590857267330182e-09,2.6984227855306943e-12,1.5062910551558737e-11,1.3384945268565016e-09,7.996470985951168e-13,3.889032069155168e-09,5.122172154916023e-09,3.446654267770216e-12,1.4766696352711429e-12,1.773421310757598e-12,1.2113935172506503e-07,5.921197007492552e-11,3.2652320144111976e-10,1.516238217302601e-08,9.64685185003816e-12,8.156714896503565e-08,5.965239422135322e-08,8.737758383751663e-11,2.2239620630809886e-11,3.215207538335697e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.034374740158932e-06,6.59603736281644e-09,3.385031941469463e-08,1.450787355868754e-06,1.2627771313973799e-09,5.737930389492855e-06,4.722224928840021e-06,8.98801529785761e-09,2.5768907894740945e-09,3.626286755132028e-09,1.0
6.054788745810224e-09,2.64476212940911e-12,2.913640670800615e-11,9.558835504608255e-10,9.734361045706718e-13,4.716641313750903e-09,3.6311658322206166e-09,3.0898642343129987e-12,1.4789811281800168e-12,1.7718027075150176e-12,1.250659437778827e-07,4.857744915055919e-11,4.3676432302376386e-10,2.1988259330216534e-08,1.3657436856304273e-11,2.2327360530014246e-07,4.009281508552942e-08,5.906995242748148e-11,1.1544990713576971e-11,1.8495414599905763e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63010158582185e-06,5.819335458932743e-09,4.170549181275911e-08,1.5069170385164664e-06,1.6642821430690582e-09,1.3076400247556028e-05,3.2334054431233574e-06,5.973979259080709e-09,1.6803671635083588e-09,2.4633466399634e-09,1.0
1.5861188972438197e-09,2.802958802416027e-12,1.648724592570392e-11,1.2936677916584326e-09,1.1329084279386344e-12,9.15005017609783e-09,1.452482906470778e-09,2.9846976234399687e-12,1.4860626750368699e-12,2.1145343951003564e-12,3.0648106622453184e-08,3.867656512455548e-11,1.895823887175569e-10,3.732839033233102e-08,1.3513039566584169e-11,5.062279373285979e-07,1.791622228394794e-08,1.417119373401805e-11,8.469189456109556e-12,8.516340251439014e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3901319857719715e-06,5.301687577260834e-09,2.107849477687177e-08,2.676861075083403e-06,1.7209409257056446e-09,2.8524079873825927e-05,1.5097992191799034e-06,2.684555652574086e-09,1.528486397650352e-09,1.816678586934298e-09,1.0
5.581971893371574e-09,3.482079945494507e-12,4.146685094144179e-12,1.3807558200519921e-09,6.05149276891565e-13,7.079019929328359e-09,2.0112823483123473e-09,6.688624239662629e-12,2.2672535314188675e-12,3.2324571251925914e-12,3.178701687989266e-08,5.974178808411875e-11,1.2583038402576152e-11,2.3590920168051188e-08,8.955369060483834e-12,3.682255032023102e-07,3.067557125435887e-08,2.2151553696718527e-11,1.2776437643316502e-11,1.504265595503893e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5716325434599277e-06,7.109713136143123e-09,3.938430746633311e-09,1.8880868252652434e-06,1.187963336951757e-09,2.1753422633085443e-05,2.292477352437359e-06,3.723299556059937e-09,2.0440673799592757e-09,2.5801598725863687e-09,1.0
4.477237462753702e-08,3.6132635717062116e-12,6.408489497191774e-12,1.9804272900893786e-09,7.761400269087752e-13,1.4978303643371297e-08,2.433145562030448e-09,1.2339753376418188e-11,3.738723232846511e-12,4.815561950537849e-12,3.101276404531275e-07,7.383598808540189e-11,9.642347310013855e-11,4.303048483059851e-09,1.3165045209081924e-11,2.096716821100639e-07,6.186879725212729e-08,6.37399946793191e-11,2.1756669706845893e-11,2.4169706049219677e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5227217471862435e-05,8.845675620145272e-09,1.2014081045815327e-08,6.87705034163157e-07,1.5089842343501804e-09,1.4414301900361945e-05,4.151191992504785e-06,7.420415209217301e-09,2.892126338386155e-09,3.5720126949547128e-09,1.0
5.7765542552254816e-08,3.2416822377660093e-12,5.7098938040871485e-12,2.7097020284504355e-09,8.283632529041398e-13,1.8227249672701376e-08,2.2351910117646006e-09,1.0864545031184462e-11,3.1778495357923284e-12,4.056532327642654e-12,7.042633946428952e-07,3.883844695756935e-11,9.575850915072386e-11,5.710333872286996e-09,9.003319941228381e-12,1.854898782914742e-07,6.217430627775567e-08,6.054186647274864e-11,2.067621700421107e-11,2.0872088527648636e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.778162140705314e-05,7.396998994644252e-09,1.1900845286069794e-08,8.607280062710758e-07,1.195274772725609e-09,1.4339363857907523e-05,4.425412957550276e-06,7.3596159858536095e-09,2.766264383842326e-09,3.378955948680226e-09,1.0
1.169816956285747e-08,4.57827881363021e-12,1.7243144935529856e-11,2.323615339150094e-09,8.75107429239939e-13,1.8883014463156493e-09,2.8099107683010713e-09,6.562020938967354e-12,2.2993438701912485e-12,3.2064957998521876e-12,4.863190596276109e-07,5.86297139249897e-11,2.686147583473495e-10,1.0618063372031577e-08,9.377883265371767e-12,4.274414298529385e-08,9.570790677606077e-08,1.2954657974627566e-10,2.96046268354126e-11,2.599030047994786e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5124194965970254e-05,8.801200800926181e-09,3.018131005664528e-08,1.1445749077935241e-06,1.255887844272861e-09,2.931908342703008e-06,6.290813246197906e-06,1.173016588656246e-08,3.305675901612677e-09,3.5458117041530736e-09,1.0
3.41979919264319e-09,4.6492089283551685e-12,2.542268050108873e-11,1.9070641801838345e-09,8.671852334670299e-13,1.7242960805582607e-09,3.1250546738035026e-09,5.035508544488718e-12,2.646346523519596e-12,3.912617630372242e-12,7.54807261728632e-08,5.3755650053357453e-11,4.0718032734613644e-10,1.0601582043935192e-08,8.380133924064651e-12,7.888185293926868e-08,1.1195410275365955e-07,1.5260580370123775e-10,2.8007066397306792e-11,2.586832802013305e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37554781747171e-06,7.757798114899357e-09,3.901868846113274e-08,1.055477199837849e-06,1.1380540658634699e-09,4.7907277951007875e-06,6.330118076572789e-06,1.2984247455199693e-08,3.2518326197532413e-09,3.4845730064268387e-09,1.0
2.4891318275092295e-09,3.73121702110407e-12,1.6730261121540716e-11,9.862765066539492e-10,8.643972974283616e-13,1.0753575458580953e-09,3.44545419683781e-10,5.171377681319265e-12,3.0190859551403737e-12,4.6961659401864535e-12,4.024293993674551e-08,3.3957272756834834e-11,1.9817124257765308e-10,4.276482571713219e-09,4.785559912142482e-12,4.7055878861172695e-08,1.0966178431945332e-08,4.643766724194264e-11,1.5803016157248724e-11,1.6705715748128284e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3232591201806174e-06,6.6399786240638835e-09,2.2331435486145338e-08,4.591724079970748e-07,8.433272451691185e-10,3.0117385355321137e-06,8.344027038858032e-07,5.484703374646872e-09,2.4254849351183025e-09,2.9645738258917663e-09,1.0
7.528731342433086e-09,4.448976064511613e-12,8.312308190936746e-12,1.5251298272899298e-09,8.264919785306681e-13,1.2521539105887474e-09,2.7016870458451517e-10,5.338653888262466e-12,2.8574935135755454e-12,4.235681758475716e-12,1.4755216865921345e-07,5.1880872885933964e-11,1.0063774814369348e-10,1.653443996670802e-08,5.562332870465027e-12,6.798640080282137e-08,3.308234963852378e-09,2.584429490237299e-11,1.2999082036669324e-11,1.3957327731064899e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.799470856756104e-06,8.412758666869059e-09,1.1738530915017822e-08,1.2169079819000985e-06,9.314112909507063e-10,4.136045489933328e-06,3.236978267719255e-07,4.391997372525356e-09,2.2984308155151175e-09,2.9590384277845328e-09,1.0
7.601433974494437e-09,4.6788535757705664e-12,1.5398681923982672e-11,2.1294714499904843e-09,2.0309807896921227e-12,2.5475515182222484e-09,5.679038596941061e-10,5.967420202785927e-12,3.0522133415639197e-12,4.876149701734163e-12,2.684475691490835e-07,6.559949886448989e-11,3.88410036923195e-10,6.293074756956891e-08,3.5735792535612744e-11,1.532592352504984e-07,9.21302181228505e-09,8.635941950990189e-11,2.275353516375968e-11,3.2981921102771565e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573516861112006e-05,9.155988106298275e-09,3.532808683025443e-08,3.912003127620043e-06,4.023172698043124e-09,8.92056469015395e-06,7.463441888081453e-07,9.389792046797184e-09,3.152813707743523e-09,4.583263839084653e-09,1.0
2.001646798577247e-08,4.086045123141955e-12,1.8682971708534653e-11,1.6053612615884016e-09,2.337787378445619e-12,4.901923278254046e-09,9.157007534721313e-10,6.222669577577895e-12,3.807703995473944e-12,6.65185997582508e-12,4.5655142638165243e-07,4.446390946762178e-11,3.768382192788433e-10,5.764276652565813e-08,3.5625905291392975e-11,1.4911442688246744e-07,3.03959342157693e-08,1.2354424018043121e-10,3.14409344079546e-11,4.462714677088394e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8507544921650588e-05,7.67208259060389e-09,3.574692859508907e-08,3.697436696967607e-06,3.831516404970225e-09,9.406065768194436e-06,2.1243622251206366e-06,1.1561998633981034e-08,3.774236176666747e-09,5.493161825680019e-09,1.0
1.991182076653381e-08,3.97455471324857e-12,1.3566929507169856e-11,4.2950820238190994e-09,8.952687826740233e-13,1.3281714431571096e-08,8.806802491082919e-10,4.741115752012786e-12,3.1430276976649116e-12,5.472520301063638e-12,5.095965185216023e-07,4.944094295773908e-11,1.1273232304347275e-10,5.567286567642966e-08,7.634891048474071e-12,3.494831834764144e-07,2.9698800264744528e-08,5.316452748018739e-11,2.1212271363203074e-11,2.5324475064877657e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7955652304239882e-05,7.131368064168576e-09,1.3660065126091087e-08,4.235042515218065e-06,1.060091060760222e-09,2.0405713398301986e-05,2.0649503131064752e-06,5.943738244529431e-09,2.7189960513129277e-09,3.8239609852273235e-09,1.0
3.1109966062905234e-08,5.680465508016759e-12,8.243417873977114e-12,8.869904273954427e-08,1.2637588479521674e-12,1.0530809827862437e-07,7.553795985362637e-10,3.472810287618237e-12,2.586601183267129e-12,3.024881189468556e-12,1.0650816826184952e-06,4.022869235275618e-11,9.683428981870476e-11,1.8209518433918225e-06,2.553904930129435e-11,3.085380109869862e-06,8.218155481307585e-09,1.768667437860239e-11,2.877446143803441e-11,1.4384892255422351e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45755240556636e-05,1.1343453244345837e-08,1.3944565696318364e-08,0.00010667955323384711,2.6578709105926565e-09,0.00016590268409804427,7.142385779281923e-07,3.9885819976595314e-09,3.894439063070725e-09,3.3849263800284015e-09,1.0
