CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
1.7787229064967296e-11,1.4124687595970374e-11,1.5757185099993102e-12,1.418926858797833e-12,2.7727190106688743e-12,2.247170035539138e-12,2.993205068222709e-11,3.233999123256721e-11,6.676403659095945e-12,4.9550372066876755e-12,2.979319537282376e-11,2.932780278031054e-11,2.6359514635067153e-11,2.6699107382040187e-11,2.731082400223813e-11,2.6998196628648153e-11,3.0515747425513064e-11,3.102354052450199e-11,2.8559703999994856e-11,2.8572463344986174e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.210301349864628e-09,4.639333173838989e-09,2.8627386181249826e-09,2.8303920147476993e-09,3.247206495316346e-09,3.1357752072943175e-09,6.220179106686938e-09,6.685002490990453e-09,3.6963256522707788e-09,3.5879766201597754e-09,0.0
3.084546539774245e-11,2.1992558325193482e-11,2.278584785423122e-12,1.5868804536731372e-12,4.3665771504813764e-12,3.1083737869058926e-12,4.9063883764925974e-11,4.362208275134271e-11,1.1769442717155498e-11,7.322187620422073e-12,2.7845842774419934e-11,2.7850872890322555e-11,2.4428298606544553e-11,2.3414152425625282e-11,2.547214621829825e-11,2.5655648087966348e-11,2.975615252656696e-11,3.030255540146831e-11,2.7067952736091057e-11,2.7673578111149484e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.114155184491926e-09,5.115690752306957e-09,2.7587574199783525e-09,2.5818231032674604e-09,3.1717692672006388e-09,3.0315468219836373e-09,7.73043221232977e-09,7.520638941600303e-09,3.985893606530238e-09,3.622809228569559e-09,0.0
3.6815184878917516e-11,2.591943671485754e-11,2.3962359535630498e-12,1.482126019791099e-12,4.860048194334513e-12,3.4498430253399348e-12,5.5854094267877974e-11,4.870068209016196e-11,1.3167773143699075e-11,7.991795063251547e-12,2.4005887770840834e-11,2.3761128019422555e-11,2.155349805364599e-11,2.070268959211579e-11,2.2456362699347816e-11,2.2323954403679498e-11,2.4858449015920463e-11,2.4277550130737738e-11,2.2844314089650912e-11,2.3229576116608314e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.306258929552031e-09,5.1437318437935e-09,2.551898126805942e-09,2.3311389074790324e-09,2.995483129435001e-09,2.7773445823757657e-09,7.915668377425012e-09,7.464701470509933e-09,3.7664622194916076e-09,3.3432486628786004e-09,0.0
3.3106318551523536e-11,2.378643060694878e-11,2.2991621948650685e-12,1.4797834285183965e-12,4.721472482478697e-12,3.5096117607551754e-12,4.827660897916394e-11,4.4005753097378554e-11,1.162990661041296e-11,7.565987296646661e-12,2.1225412091328716e-11,2.13788682822057e-11,1.901240242230703e-11,1.9581437576545967e-11,1.9518241995420677e-11,1.9578621839223778e-11,2.1980861075931384e-11,2.262764896331828e-11,1.9915797051726367e-11,2.063871430257134e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.819184129751503e-09,4.797294627017515e-09,2.367340805506702e-09,2.2550461634766073e-09,2.778957145954046e-09,2.590676569019719e-09,7.101889847255262e-09,6.91873051771988e-09,3.4456656638334935e-09,3.118974090024168e-09,0.0
2.1784588685080454e-11,1.8447311549847542e-11,1.7619504140122809e-12,1.5847306222599551e-12,3.43873619139533e-12,3.1799509195536083e-12,3.413261688292403e-11,3.759863989926024e-11,7.910122965041914e-12,6.4923904181822685e-12,2.280097325549536e-11,2.3428617519438644e-11,2.0704430811549353e-11,2.0679244483984148e-11,2.1124892657369106e-11,2.1237169966181474e-11,2.3942441834040658e-11,2.5360847590123355e-11,2.2128252829722074e-11,2.2700477320202575e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.789225081192176e-09,4.350079928711918e-09,2.407846355541687e-09,2.3443027403131454e-09,2.7114944753058673e-09,2.6514030550357597e-09,5.87025928895533e-09,6.343534485564029e-09,3.2178308250009112e-09,3.1161317080872743e-09,0.0
1.8597362136823707e-11,1.7376328138872822e-11,1.7580996932015732e-12,1.5392555941870209e-12,3.150427044725962e-12,2.800022189932229e-12,3.149601391518663e-11,3.8711655605235524e-11,7.104892344941919e-12,6.419129129718895e-12,2.4664468900623907e-11,2.431311752674466e-11,2.3428910447355368e-11,2.296849843206879e-11,2.337637052740556e-11,2.311240624139933e-11,2.5220882627928312e-11,2.5946066679211904e-11,2.3986817631499152e-11,2.4121952650968268e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.667049786961104e-09,4.35701728636768e-09,2.6233736555077678e-09,2.556379698613359e-09,2.8616398166778517e-09,2.7923962939986426e-09,5.687079661781889e-09,6.544903325720792e-09,3.277320038595413e-09,3.2568970657438325e-09,0.0
2.937480991381857e-11,2.4768416555850543e-11,2.1622320018607356e-12,1.7049409045553155e-12,4.4288265766719185e-12,3.732808614348201e-12,4.445951733693941e-11,4.8977572247238226e-11,9.976237780625351e-12,8.010162675720721e-12,2.4317143171083493e-11,2.411819136219878e-11,2.2946231933675826e-11,2.342627639400192e-11,2.326558505406963e-11,2.3023315250950024e-11,2.444641096121074e-11,2.6032517444041408e-11,2.3349958539673027e-11,2.37913809438561e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.546794437293574e-09,4.984135683388611e-09,2.594030692486177e-09,2.5753266843623906e-09,2.938398605761256e-09,2.8365461991098607e-09,6.7542266465832e-09,7.507501083387937e-09,3.4487796780827864e-09,3.386017513891931e-09,0.0
3.344209519304784e-11,2.7432508349316637e-11,2.141752778231516e-12,1.8515057725199268e-12,4.813733345655889e-12,4.372445718393618e-12,4.841539950072732e-11,5.0942354059582824e-11,1.1038373526098335e-11,8.711684229519455e-12,2.091133590638186e-11,2.0884333459397614e-11,2.0129800173512746e-11,1.991113164644859e-11,2.0352373551084487e-11,2.032825982512686e-11,2.098061857799984e-11,2.160308907430936e-11,2.0221420536964176e-11,2.081023814968763e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.541587530348931e-09,4.933561383189431e-09,2.3618273982021638e-09,2.3156598138616377e-09,2.734476746988712e-09,2.678897227272041e-09,6.742381386557998e-09,7.328677372258571e-09,3.2746383967070077e-09,3.2184862787772696e-09,0.0
2.997091476799203e-11,2.5398860592585204e-11,2.2041464044878102e-12,2.1608569541321848e-12,4.553191703180786e-12,4.5767486390632206e-12,4.313639093027692e-11,4.751844198221928e-11,9.945512325291315e-12,8.802509083318044e-12,2.3387543953337672e-11,2.31459193104678e-11,2.1646625638050384e-11,2.06278046204429e-11,2.1997657113846367e-11,2.158119525550294e-11,2.3395615714347484e-11,2.4115722110988812e-11,2.2254827318450288e-11,2.28112845821015e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611235211203992e-09,5.091181938434653e-09,2.654441790177419e-09,2.52909243640174e-09,3.002582262026038e-09,2.941440421983406e-09,6.6635362741888245e-09,7.321055725228979e-09,3.5119758300763243e-09,3.492015987438305e-09,0.0
2.7900906999532348e-11,2.4443913978294347e-11,2.1588172528395345e-12,1.957131085218298e-12,4.410271584374711e-12,4.345446047939263e-12,4.0787812416111016e-11,4.5167098211424084e-11,9.107380301920721e-12,8.191307462841583e-12,2.681031454234905e-11,2.6259010037640074e-11,2.3579098779638798e-11,2.2811332008064038e-11,2.4679649010637675e-11,2.430143578547166e-11,2.6964156180683134e-11,2.8135457163631015e-11,2.5545199568387577e-11,2.5784181365817805e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68775002750204e-09,5.219525759734553e-09,2.843283940289066e-09,2.7286158239455105e-09,3.2361342025078546e-09,3.167266376857139e-09,6.694194492171392e-09,7.310342226089912e-09,3.7236086320297838e-09,3.6817672472444543e-09,0.0
