CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
2.5626262763956587e-10,4.875303347244477e-12,6.349300755367699e-12,4.133585589126981e-10,2.054452427018791e-12,5.154894398568646e-09,2.2151933515992636e-10,4.369327984662218e-11,1.9322618003441973e-11,2.1203837081463203e-11,9.02194788434736e-09,1.6082548172653514e-11,1.3197561592047742e-11,1.7745825377047663e-08,8.273862441885627e-12,4.1451193138047723e-07,2.1789189096408614e-09,2.0255756976734495e-11,1.4223468317326872e-11,1.568058188146398e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.338533763497517e-07,3.0880955615883516e-09,3.735100296025864e-09,1.183707726741206e-06,1.307673095191106e-09,2.1125206810979575e-05,2.304423857362618e-07,7.012720902725038e-09,3.802348757413777e-09,4.527257778738379e-09,0.0
2.2673782021161898e-10,4.756908709440129e-12,6.187654094801421e-12,2.691838793925344e-10,2.036605994980691e-12,1.3991104944655828e-09,2.588912731297043e-10,4.017235543496447e-11,1.8795944443382693e-11,1.972512315760295e-11,3.2462477927151065e-09,1.3411962703394695e-11,1.0747707968374522e-11,9.229409519254296e-09,7.193277765300175e-12,1.33391872506624e-07,2.181994642411707e-09,1.449369675175994e-11,1.0543536705059461e-11,1.125363319174892e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7651670587119493e-07,2.620909814663873e-09,3.477799918583695e-09,6.829013282313445e-07,1.123020072597015e-09,7.6279505445909205e-06,2.337057248165119e-07,6.335902779410398e-09,3.450243740812132e-09,4.087896873179194e-09,0.0
2.2642069620203733e-10,5.551483801571895e-12,6.3558713691520876e-12,1.5267623697371603e-10,1.8140051884919979e-12,2.2625483727374507e-10,2.695419774963289e-10,3.4113473405276386e-11,1.7619982788243517e-11,1.814477312764125e-11,1.5195185529575732e-09,8.472768911321433e-12,7.471223489734873e-12,6.036172289402175e-10,3.2208594782040096e-12,4.26492867621742e-09,2.0576151398205424e-09,1.0046166720831255e-11,6.5357595675274585e-12,7.509140666506084e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645200851861222e-07,2.1633118691363745e-09,3.143350932438413e-09,9.905594542317656e-08,7.304835919565676e-10,3.5397041964543526e-07,2.2453474203352637e-07,5.427151024871204e-09,2.9110925916942147e-09,3.479719560755973e-09,0.0
1.77495804288709e-08,5.04986435495225e-12,5.1092535649308745e-12,3.1807708706706267e-10,4.637984816513055e-12,3.6606917885964838e-09,2.3029996946485265e-10,2.3310856257058e-11,1.1936484949944868e-11,1.2576407570682833e-11,7.635074360572151e-07,1.4034472807324771e-11,8.2479198515337e-12,9.241661254603108e-09,6.17002503367005e-11,4.1694461706675895e-07,2.2284939642980643e-09,1.048472656022334e-11,7.16340824273062e-12,7.404461579596343e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9598330215895786e-05,2.5197609959548303e-09,3.0733546359846125e-09,6.750918738786292e-07,6.274580250618735e-09,1.9401419211796803e-05,2.243780091047854e-07,4.193837480225584e-09,2.3540325573090266e-09,2.7250120770455673e-09,0.0
2.1353133809131772e-08,3.900142170570235e-12,3.0637941510120965e-12,3.3588785147585674e-10,2.8281822723164014e-12,3.5620635579137295e-09,2.3396108384756516e-10,7.012791548722078e-12,2.851785220766551e-12,3.8388231847718624e-12,7.435019108176658e-07,1.6213858538061303e-11,8.72294791011921e-12,1.1538955141993368e-08,5.313120942347494e-11,3.687097014070064e-07,2.021176218115512e-09,1.0698139045094421e-11,7.186988325679228e-12,7.695788865738155e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798156817263505e-05,2.558904617127681e-09,2.948846216600077e-09,7.646737754418326e-07,5.214348730026383e-09,2.01622015206779e-05,2.2055387712215283e-07,2.6001541972399254e-09,1.5022811633249605e-09,1.85343885169811e-09,0.0
1.0718354652916813e-10,3.725606034092644e-12,3.559781780837732e-12,2.173829393279114e-10,7.300932916291576e-13,2.304619198285765e-10,2.7489882427600726e-10,3.862961262224861e-12,2.404600713566926e-12,3.912151164250589e-12,5.704998744508149e-10,8.300473710285807e-12,4.470403416686917e-12,5.205743050939851e-10,3.2822067051102694e-12,2.5584105699811836e-09,1.432883623056968e-09,6.651191410612082e-12,4.59889955532466e-12,5.2856692004273725e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.992427272243528e-08,1.907826580184909e-09,2.6885839806038487e-09,1.0891692870481437e-07,6.647270056977703e-10,2.62930904650727e-07,1.897913041729851e-07,2.0324963924318668e-09,1.3067797823970157e-09,1.788049903568922e-09,0.0
1.5805939841102982e-10,3.288018414476962e-12,4.41175759509596e-12,2.654626146469962e-10,7.906182906274694e-13,1.6054017443041948e-09,2.8590849104511137e-10,4.359745504145461e-12,2.8713096755952926e-12,4.884125248494678e-12,3.222588610165461e-09,8.089411296642896e-12,4.787153290357734e-12,1.897828326640432e-08,2.279016593864735e-12,4.2760487926519803e-07,1.8744435408389936e-09,7.0119139267159094e-12,4.511388773556068e-12,4.897096050098901e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6395586650101096e-07,1.786543217611936e-09,2.840615206195594e-09,1.2873393371082625e-06,5.599659763205013e-10,2.0551421833834004e-05,2.169209758738424e-07,2.1374982342306325e-09,1.300366089549102e-09,1.8210102619435405e-09,0.0
