CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
3.0103270044199716e-11,3.059717516544722e-11,2.5196384571810513e-11,2.5661941633033672e-11,2.686825273792274e-11,2.762326112504743e-11,3.6645127670989425e-11,3.945346252612215e-11,3.1062417037623315e-11,3.022644410532483e-11,1.0220956066808889e-09,1.0165106198066605e-09,5.367407109724687e-10,5.563469312985303e-10,7.824893947651128e-10,8.047197960653455e-10,1.1626017505931572e-09,1.187182590644953e-09,9.908844495106205e-10,9.945392787434598e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818459121169483e-08,9.4703684805212e-08,6.041369050740253e-08,6.510065800797031e-08,1.0189517834092044e-07,8.197806939429826e-08,1.021614072290534e-07,1.0449637184700365e-07,9.284084757168804e-08,9.374193145973969e-08,1.0
3.405515902012313e-11,3.4681248709013164e-11,2.7115644867117198e-11,2.8504042170057137e-11,3.0731860213155604e-11,3.143714925735591e-11,3.868078069554339e-11,4.487657026137929e-11,3.3729568937998625e-11,3.462206351656517e-11,8.501373433720637e-10,8.541470104545289e-10,4.5169156308121e-10,4.575606391932311e-10,6.744342693841619e-10,6.716282031477473e-10,9.935131494018198e-10,1.2878853247503738e-09,8.247959391241269e-10,8.336843223288416e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.936883781318896e-08,7.867251560932107e-08,4.810860468522992e-08,4.872799932922854e-08,6.899401911567454e-08,6.509801180723617e-08,9.023102558843393e-08,1.0803714113917118e-07,7.74549465485604e-08,7.742461515104006e-08,1.0
3.15089353938097e-11,3.328478389371284e-11,2.2083679950087723e-11,2.37257259350657e-11,2.7852961448079805e-11,2.8059593635173525e-11,6.038444325006703e-11,4.356637455778898e-11,3.256060026499281e-11,3.317510898804618e-11,9.106993640754373e-10,9.176742695159823e-10,4.921291944493191e-10,4.6337346919998123e-10,7.51925283676918e-10,6.927479623046986e-10,2.0315306128913515e-09,1.379611466772793e-09,8.522990758607052e-10,8.645539282996095e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.168104845771382e-08,8.027572999072929e-08,5.008817983939322e-08,4.831219157732687e-08,7.751482387146386e-08,6.557598538357195e-08,1.6197348857024223e-07,1.1591637478962276e-07,7.729389578693177e-08,7.684275004875154e-08,1.0
2.8034159573994653e-11,2.910712518494456e-11,1.9829457264342445e-11,2.050228047052867e-11,6.721380133687383e-10,2.42273368258441e-11,4.6214628303116546e-11,3.8424873179721755e-11,2.797359334881826e-11,2.8382674690986978e-11,9.019780778302039e-10,8.947221267378693e-10,5.052629852187445e-10,4.748567728797019e-10,2.5722358828431365e-09,6.944830261542718e-10,2.0417314208332433e-09,1.176399059746738e-09,8.400053850020599e-10,8.448055728435334e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951387118449368e-08,7.810761039744362e-08,4.836472585758826e-08,4.688373408704976e-08,3.29138890301029e-07,6.401893543473723e-08,1.5312907395476238e-07,9.787993974516502e-08,7.50450937295006e-08,7.471104446649546e-08,1.0
2.193667019960854e-11,2.2144898588571e-11,1.795536031558466e-11,1.8000142681636323e-11,7.442946863724221e-10,2.013504444903352e-11,2.3205892669877534e-11,2.368778415550373e-11,2.2323277092000487e-11,2.149126249313949e-11,7.667440927452864e-10,7.563262550801195e-10,4.745470641896182e-10,4.0601681859776535e-10,2.50712209705761e-09,5.934543483556889e-10,8.386779432975011e-10,8.238107045538081e-10,7.496788144648096e-10,7.232735319252651e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.475131691239221e-08,6.405117067230944e-08,4.163247968997804e-08,3.7367719399025e-08,3.471482252539502e-07,5.18119707764337e-08,6.987250857711998e-08,6.926338325775022e-08,6.319066280075048e-08,6.155324056050765e-08,1.0
2.515906552916767e-11,2.542605700443359e-11,2.0049409234586453e-11,2.0027365689944116e-11,2.3200369879867605e-11,2.287536002309147e-11,2.5716396436490818e-11,2.78081370733641e-11,2.5957995542440146e-11,2.4852824218205197e-11,8.278569220216991e-10,8.440839184019118e-10,4.417328305061513e-10,4.997737113376869e-10,6.340880952278331e-10,6.883814375322081e-10,9.009675480615712e-10,9.271049968728695e-10,8.207184160734572e-10,8.295113254812874e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.383339921502105e-08,7.313489052472776e-08,4.463842620170605e-08,4.848329436294389e-08,6.648526575983802e-08,6.251345823637941e-08,7.718817565689524e-08,7.892864326204947e-08,7.344931734969776e-08,7.252466500545608e-08,1.0
2.1218833350492882e-11,2.1545389405761462e-11,1.6572507431093322e-11,1.726014774800256e-11,2.0235040986038063e-11,1.9219088631916567e-11,2.2194967975004432e-11,2.3645618633428696e-11,2.1321069617792155e-11,2.1090713349014623e-11,7.344103327707463e-10,7.465801107958445e-10,3.750973239168826e-10,4.492242433969945e-10,5.54641595654062e-10,6.128684686627225e-10,8.11706499114747e-10,8.100657383844924e-10,7.175904675176755e-10,7.379451415802661e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545070843767177e-08,6.443385952352165e-08,3.865287324709088e-08,4.4243197985683494e-08,6.132639633402899e-08,5.603278820684238e-08,6.857708503156437e-08,6.874892367546089e-08,6.422672558692668e-08,6.421464192613814e-08,1.0
2.1294662170088643e-11,2.0832218120824535e-11,1.7666542243887224e-11,1.74877773835667e-11,2.010935688443009e-11,1.902930656973684e-11,2.24676126800294e-11,2.199717128758716e-11,2.1282563997806844e-11,2.0555765611936726e-11,6.352870943469426e-10,6.393004856711676e-10,3.4264025767829085e-10,3.665378154794519e-10,4.934090774877618e-10,5.101846532501577e-10,6.967978320468753e-10,6.886400656758471e-10,6.201068415266264e-10,6.18587347714563e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06935265405214e-08,6.016817537597062e-08,3.724338028985357e-08,3.882172969653135e-08,5.277788886191311e-08,5.0549966085158676e-08,6.490310402691927e-08,6.414285539904949e-08,5.925997322986416e-08,5.860502371564059e-08,1.0
1.1422226015594813e-11,1.0877410856084555e-11,8.991928450483412e-12,8.637601030915759e-12,1.02952991139341e-11,9.705533534410809e-12,1.1796727340821425e-11,1.1802760043585692e-11,1.1129453765041211e-11,1.0415750318839419e-11,5.747348011650266e-10,5.791200116464461e-10,2.8700714013024817e-10,3.227751796001831e-10,4.3630936305651566e-10,4.6358474010936764e-10,6.173486901881017e-10,6.21808954559689e-10,5.608643010768982e-10,5.622993695551724e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3530742191942465e-08,5.315322128258826e-08,3.067397035630498e-08,3.3277959442854956e-08,4.388722457989626e-08,4.4405744800131123e-08,5.6069387254411724e-08,5.659726080852559e-08,5.187490543288547e-08,5.1822450034190905e-08,1.0
7.4467951900452e-12,7.352001488307937e-12,5.685562472338655e-12,5.565552446044818e-12,6.6939969111587e-12,6.2570790856257005e-12,7.662349601953731e-12,7.961495731134054e-12,6.9922801577392515e-12,6.78310039544553e-12,4.5649583981389553e-10,4.5318476936392373e-10,2.2969158814488215e-10,2.4404377580778207e-10,3.49559626695942e-10,3.617578261072238e-10,4.832302213529012e-10,4.807734248241199e-10,4.362658510539683e-10,4.3690252596712684e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0937707316971496e-08,4.010045926360671e-08,2.304269644502679e-08,2.3910377690515137e-08,3.336002852047112e-08,3.310674429686815e-08,4.2492159282633714e-08,4.246002149714998e-08,3.890558661503863e-08,3.875904447856414e-08,1.0
4.447768135287674e-12,4.45414251663726e-12,2.846896942276074e-12,3.0197515075509655e-12,3.579439069305855e-12,3.4829521099194782e-12,4.7652676556436185e-12,4.95809433785542e-12,3.79526198574563e-12,4.0111518816244495e-12,3.65445604568179e-10,3.673603223618221e-10,1.844326148456844e-10,1.9886690034352994e-10,2.75926105133893e-10,2.9161006310472384e-10,4.1132774613685465e-10,3.95840410908822e-10,3.505598985623401e-10,3.555888888318537e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071159158314242e-08,3.0580870049240374e-08,1.632693955631847e-08,1.7453647018551986e-08,2.4182766648622984e-08,2.4817846311357193e-08,3.402268795501693e-08,3.2930009480105247e-08,2.9163569624580073e-08,2.9581448918206425e-08,1.0
7.451687605190333e-12,7.641640258032981e-12,6.234513781709734e-12,6.102376075826648e-12,6.631066677467675e-12,6.754037258624888e-12,9.989741451611773e-12,8.701894603826245e-12,6.7583069719782805e-12,7.1530171778224704e-12,4.147334045847177e-10,4.0454817952316245e-10,3.0360675500190817e-10,2.900387639992578e-10,3.336947850902224e-10,3.505666306376801e-10,4.4268684001363595e-10,4.169713893718995e-10,3.9783053917435746e-10,3.93804080968213e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6900518538253657e-08,3.652749751236039e-08,2.808614643542344e-08,2.6805255018645497e-08,3.154773078523871e-08,3.258344976109737e-08,3.959984109620789e-08,3.781085041932245e-08,3.5595030179268725e-08,3.553212659526617e-08,1.0
1.0271715778576595e-11,1.0242898342384558e-11,9.049439739529834e-12,8.495971684623317e-12,9.320754385472536e-12,9.25672714376306e-12,1.3251364372449546e-11,1.2583587034342566e-11,2.8473950983650345e-11,9.67432907999996e-12,3.718908874488412e-10,3.6339921263503146e-10,3.2848710908792255e-10,2.9295658524345857e-10,3.266692146540872e-10,3.2985259555072494e-10,3.8720640208238525e-10,3.827792151863848e-10,6.514288496892056e-10,3.5397571354055333e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6560190358099575e-08,3.636846929694832e-08,3.3050562127284616e-08,2.9968489308861255e-08,3.3892515551530845e-08,3.424549152320786e-08,3.836921803622199e-08,3.8661870640020805e-08,6.085313215573053e-08,3.5523827835347045e-08,1.0
8.196304238256752e-12,7.861474469924728e-12,6.587262977072539e-12,6.2632139307368935e-12,7.568227685280755e-12,7.066468597674718e-12,9.635649020412949e-12,1.0248405635019705e-11,1.7851497855171393e-11,7.274004443843297e-12,2.207141063290212e-10,2.2371970957323548e-10,2.0281580838114225e-10,1.802456932430017e-10,1.5931626274886098e-10,1.8674198492659632e-10,2.622315387326244e-10,2.6965437955641144e-10,4.90086115712342e-10,2.20565178758805e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459174789772485e-08,2.4956571181862644e-08,2.229271423730437e-08,2.054887120733171e-08,2.05208804144886e-08,2.2209431188914528e-08,2.816153791113324e-08,2.916537922399155e-08,4.8904647823794304e-08,2.4499948222784813e-08,1.0
4.143083185314594e-12,4.3283385696298765e-12,2.9323616417135663e-12,2.858908175067216e-12,3.705822139578138e-12,3.4330868731135036e-12,4.934385992876636e-12,6.830287216983034e-12,3.80694589178965e-12,3.648139975246717e-12,1.9578477668444004e-10,2.047298919440164e-10,1.678459403910127e-10,1.6523735210006563e-10,1.2063363575319816e-10,1.628332709929118e-10,2.901287621374653e-10,2.4301769883545594e-10,2.1535640241302552e-10,2.0230211681862927e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666201821249342e-08,1.8165444455920265e-08,1.5118980423703037e-08,1.4383305667456447e-08,1.3175760615906015e-08,1.5463952051942843e-08,2.4209165252262805e-08,2.1612147155120336e-08,1.888777506715285e-08,1.7706248282211042e-08,1.0
3.184454805991129e-11,3.195866125010152e-11,3.0641937923421885e-11,3.0883544640826596e-11,3.072445046112506e-11,3.122055797816024e-11,3.116044730641052e-11,3.3423664474851795e-11,3.1079083629767973e-11,3.154569911480908e-11,1.5844541371234764e-10,1.5798018808290054e-10,1.3182982283616644e-10,1.3477438398451269e-10,1.4320077142667513e-10,1.4500929443621118e-10,2.0389067832121961e-10,1.7010862093378775e-10,1.5608749664280764e-10,1.5663294483087162e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.179765225081826e-08,3.178691256198527e-08,2.933053489561971e-08,2.9522000154261397e-08,3.0530685366594397e-08,3.0867731752454995e-08,3.4925736062299213e-08,3.321170263664521e-08,3.152498587043239e-08,3.151803096084202e-08,1.0
4.4249299110788964e-11,4.4658579901043283e-11,4.400755243695523e-11,4.3531934841551346e-11,4.3411838888073717e-11,4.400947705484094e-11,4.314023866306421e-11,4.584833952446093e-11,4.399610646965337e-11,4.398910706130977e-11,1.8453717491050345e-10,1.8301520983710042e-10,1.700084752282033e-10,1.6880942416646644e-10,1.774651855067243e-10,1.7552246300794658e-10,1.7443989783774524e-10,1.8354764356265747e-10,1.8417787101933798e-10,1.8368725315499808e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.287798874620885e-08,4.274946972940226e-08,4.1322094208421206e-08,4.115674694250993e-08,4.25349397215117e-08,4.2179044033653126e-08,4.158327825569767e-08,4.313874817366317e-08,4.278545281726824e-08,4.267978069177659e-08,1.0
4.895342918209825e-11,4.9041290455246916e-11,4.839858311965988e-11,4.742448851672941e-11,4.700456467181155e-11,4.765367974296768e-11,5.1317829110692473e-11,5.226394161751774e-11,4.898950033515723e-11,4.8606604805450085e-11,2.9003346015444143e-10,1.8111769607247025e-10,1.3782985286866217e-10,1.385565073366317e-10,1.815478731829311e-10,1.4308513091648072e-10,7.352713343421209e-10,9.666544880220686e-10,1.5559244116483265e-10,1.5604137188472437e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01119341793787e-08,4.2961693198477855e-08,3.961751974256285e-08,3.934239321657007e-08,4.2993342969453974e-08,4.000096549985025e-08,8.103284878650184e-08,9.289457599179892e-08,4.137676068304783e-08,4.104102094580385e-08,1.0
1.148006885198917e-11,1.125342373551324e-11,9.722926135023637e-12,9.430240192837456e-12,9.068814418024981e-12,9.531472300148107e-12,1.4401642963811911e-11,1.4861222743645796e-11,1.085811019776164e-11,1.069361710258703e-11,2.4214211806002824e-10,1.2875070302602713e-10,6.95228192858051e-11,6.806396550655254e-11,1.1536172664617911e-10,7.299484653574401e-11,7.680983369993019e-10,1.0316551611564308e-09,8.892994588621321e-11,8.901663368631732e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2385487862110337e-08,1.4735569119394034e-08,1.0528560804873808e-08,1.0253496488180658e-08,1.3786368786882319e-08,1.0686114571530674e-08,6.347974534580112e-08,7.696238482603234e-08,1.2291197441432708e-08,1.2039805195152314e-08,1.0
1.283867484307878e-11,1.4442276255144635e-11,1.1559267473646214e-11,1.1611105353148764e-11,1.1004855735043044e-11,1.2005218303776871e-11,1.5761614682679507e-11,1.581104183514002e-11,1.225373122255946e-11,1.250153591251763e-11,1.1309823056791781e-10,9.145010414303293e-11,4.890320733868579e-11,4.9285396365789364e-11,7.539937228345552e-11,6.443584129262867e-11,2.4212906830205195e-10,3.866367651622648e-10,5.596774771550229e-11,5.804783296682007e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.602628253806869e-08,1.5183521290030694e-08,1.1197559540077778e-08,1.1350392930841335e-08,1.2589808936469044e-08,1.2458151770251665e-08,2.6151224811184183e-08,3.804378113525747e-08,1.1754647494179387e-08,1.2018718604101191e-08,1.0
