CP5_alpha_power,CP5_delta_power,CP5_spectral_edge,CP5_spectral_entropy,CP6_alpha_power,CP6_delta_power,CP6_spectral_edge,CP6_spectral_entropy,F7_alpha_power,F7_delta_power,F7_spectral_edge,F7_spectral_entropy,F8_alpha_power,F8_delta_power,F8_spectral_edge,F8_spectral_entropy,FC5_alpha_power,FC5_delta_power,FC5_spectral_edge,FC5_spectral_entropy,FC6_alpha_power,FC6_delta_power,FC6_spectral_edge,FC6_spectral_entropy,P7_alpha_power,P7_delta_power,P7_spectral_edge,P7_spectral_entropy,P8_alpha_power,P8_delta_power,P8_spectral_edge,P8_spectral_entropy,T7_alpha_power,T7_delta_power,T7_spectral_edge,T7_spectral_entropy,T8_alpha_power,T8_delta_power,T8_spectral_edge,T8_spectral_entropy,label
3.6171438934549295e-11,3.740622977307268e-11,3.281634874123734e-11,3.3502803675072835e-11,3.301837912695828e-11,3.4186520133573695e-11,3.7518255451033235e-11,3.807251280474557e-11,3.4143902296951586e-11,3.5102650510387284e-11,4.664280225168729e-10,4.628462642277074e-10,4.6271166294971593e-10,4.643403813597101e-10,4.6328996446046287e-10,4.638145156604078e-10,4.667644774630401e-10,4.668381470834528e-10,4.6494512589772317e-10,4.642390039917528e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.675281681398157e-08,4.642439541283411e-08,4.599097303462051e-08,4.620844025925436e-08,4.610640224610132e-08,4.627284365896436e-08,4.695703458430709e-08,4.684792962486633e-08,4.644763763190431e-08,4.6496767711025527e-08,0.0
2.0291311662154205e-11,2.023527055119767e-11,1.5744847142762264e-11,1.5833395646445643e-11,1.6080493871392455e-11,1.6333113722618486e-11,2.178530563621122e-11,2.0935525754820794e-11,1.7292915868433236e-11,1.7046505249886068e-11,1.9958842708361502e-10,1.9809635451923928e-10,1.9707826730731421e-10,1.9637501246206928e-10,1.976791713638621e-10,1.976691936334488e-10,1.9902066843491164e-10,1.9930544417255038e-10,1.9815449873952845e-10,1.9868223287195942e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3732173526314793e-08,2.3567116044000724e-08,2.2969508158126697e-08,2.303564054526988e-08,2.308117397604886e-08,2.317411907925515e-08,2.388631066661327e-08,2.376034312044231e-08,2.329045688139231e-08,2.3424859792247006e-08,0.0
2.2936097924395857e-11,2.0000170389039744e-11,1.6374450052023622e-11,1.656486183890273e-11,1.6946263120707382e-11,1.6952988543929856e-11,2.4475331826187035e-11,2.046171871109075e-11,1.868452223577622e-11,1.762516468562814e-11,2.2032658338572797e-10,2.1655789341492276e-10,2.1880253661146574e-10,2.172945102393077e-10,2.1806249932865211e-10,2.1714856352981595e-10,2.2065638064475735e-10,2.1956871070138566e-10,2.2051044548306455e-10,2.1869867666351033e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5028395944776845e-08,2.4567998443416608e-08,2.4256786395294753e-08,2.4223786258012748e-08,2.4275326796711757e-08,2.4283358643435808e-08,2.523638534851906e-08,2.492414058999349e-08,2.4661703659248797e-08,2.455928355437128e-08,0.0
2.831370723742291e-11,2.822893005783852e-11,2.285712691983246e-11,2.4507885072739686e-11,2.3247472662336685e-11,2.508683416236799e-11,2.995168755236126e-11,2.878051540349574e-11,2.473182163708193e-11,2.626597915781456e-11,2.0269680683391625e-10,1.9744966577172863e-10,2.0212741692732345e-10,2.0048299414324858e-10,2.0145828575952182e-10,2.000595729890209e-10,2.023675863058464e-10,2.0177526025601463e-10,2.0261278794192442e-10,2.002565855699753e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.230370632764525e-08,2.1996090629094767e-08,2.162952211620652e-08,2.1773020544495975e-08,2.162446245874441e-08,2.184050637670627e-08,2.2517811015431755e-08,2.231148428469039e-08,2.194404753059277e-08,2.204888802865387e-08,0.0
1.1886387209139309e-11,1.4412365667308689e-11,8.320112670548805e-12,9.219492581686175e-12,8.525025293571877e-12,9.814160079010391e-12,1.353087537811188e-11,1.5642338000374005e-11,9.751988830745227e-12,1.1283045423360226e-11,1.2314304383346378e-10,1.2099865334599653e-10,1.2095259952677486e-10,1.203163351258945e-10,1.2122161293774953e-10,1.2071335044180194e-10,1.2281421306645402e-10,1.2147786785118867e-10,1.2238368964794251e-10,1.2171147157079874e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3515523790777688e-08,1.3497955859281499e-08,1.2750125528469661e-08,1.2781155573853741e-08,1.2807963119455135e-08,1.2944974463848342e-08,1.3761349042363028e-08,1.3683957239642282e-08,1.3192929999033613e-08,1.3243686546870552e-08,0.0
1.1488438048117911e-11,1.412465311516782e-11,6.557497753691164e-12,7.500081473904135e-12,6.7650123199191814e-12,8.148517680737227e-12,1.3358972946542517e-11,1.5535973228612427e-11,8.22452941338625e-12,9.61387654998629e-12,1.2606989610983183e-10,1.2377011391860316e-10,1.2329986472790248e-10,1.2283768509468921e-10,1.2338997987886146e-10,1.2281742572570574e-10,1.2621492763209968e-10,1.2283330281874509e-10,1.2552077267769675e-10,1.2401785447099986e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3208748025808196e-08,1.3149882679545504e-08,1.2382485629871327e-08,1.23650685761114e-08,1.2410339355852051e-08,1.2463407004964842e-08,1.3500768461231896e-08,1.3215647600558826e-08,1.2850776490890394e-08,1.2779277754214985e-08,0.0
1.3416793551246926e-11,1.4117796990063684e-11,7.65314755932686e-12,8.364255344466199e-12,8.041488286050854e-12,8.895994650545456e-12,1.525349410615207e-11,1.5462537400723507e-11,9.482157931732698e-12,1.0334902157463937e-11,1.3243765625736849e-10,1.3119264928985234e-10,1.3119942983968644e-10,1.3117220108486764e-10,1.3001023634996983e-10,1.3013359687949038e-10,1.3321841563137828e-10,1.3113792139845343e-10,1.3224423209416755e-10,1.3220537999693876e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2667286708626662e-08,1.25628388715493e-08,1.1965585728626317e-08,1.2012861536470087e-08,1.1896148928528806e-08,1.1991093402721283e-08,1.2982132097562356e-08,1.2699935636873345e-08,1.2307105107512116e-08,1.2353058352767766e-08,0.0
1.632140635033471e-11,1.6047917616425457e-11,1.2648881192501718e-11,1.2337670969223938e-11,1.2849157330188882e-11,1.2723247714123727e-11,1.7799024505307587e-11,1.7173321421747265e-11,1.3933645650628631e-11,1.3586040031635613e-11,2.944258291144099e-08,2.956445582563891e-08,2.9366996004385877e-08,2.9368672164879004e-08,2.9383290056638495e-08,2.937550833164037e-08,2.9446123711719928e-08,2.9683202816343604e-08,2.94365777231712e-08,2.9359694117808146e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4424779788839838e-06,1.4479562379796248e-06,1.4385309819991384e-06,1.4385847508647781e-06,1.4393015786161611e-06,1.4389624317615098e-06,1.4428584209304777e-06,1.4535616382117914e-06,1.4419730953748104e-06,1.4384132005784567e-06,0.0
3.814141241211754e-07,3.839040004886229e-07,3.803690507406008e-07,3.809186058077237e-07,3.8072254871019527e-07,3.809872950856136e-07,3.814736778969827e-07,3.859144302223827e-07,3.8126770000197506e-07,3.806333898866708e-07,1.4384966861501277e-05,1.4459342805127214e-05,1.4347332961830614e-05,1.4366268915272165e-05,1.4357855358007498e-05,1.4365919851350314e-05,1.4389354418986527e-05,1.4520686469322053e-05,1.4378643532704126e-05,1.4351911645791503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007078065723088419,0.000711234779025236,0.000706091656777753,0.0007069461539944359,0.0007065788818241843,0.000706943431184412,0.0007080009203173488,0.0007140927195928035,0.0007075153457720415,0.0007063173815233813,0.0
6.468014060561571e-07,6.510380913222294e-07,6.450148094113605e-07,6.459525825475195e-07,6.456112046524217e-07,6.460664597372169e-07,6.469129252600407e-07,6.545380493818179e-07,6.465346770077985e-07,6.454715868479754e-07,2.4092023392890522e-05,2.42151637526163e-05,2.4030161037671867e-05,2.4062074274332034e-05,2.4047415518775497e-05,2.406089643958887e-05,2.4099169478458124e-05,2.431915881841089e-05,2.4081728136147204e-05,2.4037219195876057e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009171550671760595,0.0009216273831851239,0.0009149466574818763,0.0009160590345331414,0.0009155772001475901,0.0009160517240694393,0.0009174051322612187,0.0009254184373086069,0.0009167781862781636,0.0009152430457091956,0.0
